Id,Sales
1,8449.42921842705
24825,8599.48041371884
5993,6389.19016796189
37665,8750.80926104051
18833,6521.02653966653
12841,8690.29284080575
19689,6654.14056340104
857,8582.54324216156
15409,351.114783724963
38521,8883.92328477501
13697,8823.40686454026
7705,6655.41821543091
39377,387.544430899269
20545,6787.25458713555
1713,8715.65726589607
16265,6121.684468463
33385,378.437019105693
27393,369.329607312116
2569,8848.77128963057
40233,6158.11411563731
21401,360.22219551854
35953,8484.58121357148
34241,6149.00670384373
3425,352.392435754832
22257,6130.79188025658
9417,361.499847548409
30817,6539.24136325368
10273,6132.06953228645
35097,8351.46718983698
23113,8333.25236624983
4281,6122.96212049287
14553,8847.49363760071
8561,6788.53223916542
29961,6406.12733951917
25681,8732.59443745335
5137,6256.07614422738
23969,8466.36638998433
36809,8617.695237306
17977,6387.91251593202
26537,8865.70846118786
11985,8557.17881707124
6849,6522.3041916964
17121,6254.79849219751
29105,6273.01331578467
32529,6805.4694107227
11129,8424.06479333673
31673,6672.3553869882
28249,6139.89929205016
23970,7213.39937770619
1714,7552.22502867496
24826,7346.5134014407
18834,5268.05952738839
38522,7720.4910475539
5994,5225.75793074078
35954,7321.14897635038
2,7285.99698120594
39378,-865.422581378874
4282,4959.52988327177
29106,5020.04630350652
8562,5625.10000194431
9418,-801.932389672698
25682,7479.62742517521
19690,5401.1735511229
34242,4896.03969156559
16266,4868.71745618486
22258,4877.82486797844
26538,7612.74144890971
20546,5534.2875748574
10274,4968.63729506534
30818,5286.27435097554
37666,7587.3770238194
33386,-874.52999317245
14554,7594.52662532256
858,7419.11100494045
21402,-892.744816759604
2570,7685.33905240947
11130,7171.09778105859
5138,5092.64390700628
40234,4905.14710335917
32530,5642.03717350159
36810,7454.26300008489
11986,7304.21180479309
15410,-901.85222855318
35098,7188.03495261587
29962,5153.16032724103
23114,7080.28535397168
17978,5134.94550365388
31674,5508.92314976709
28250,4886.93227977201
6850,5358.87195447529
13698,7570.43985226212
27394,-883.637404966027
7706,5491.9859782098
17122,5001.83147991937
12842,7437.3258285276
3426,-811.039801466274
4283,6543.96017581211
23971,8887.36444530357
24827,9020.47846903808
1715,9136.6553212153
8563,7209.53029448465
5995,6810.18822328112
29107,6694.01137110391
38523,9304.92134009425
34243,6480.46998410593
22259,6462.25516051878
35955,8905.57926889072
3,8870.42727374628
20547,7208.25264245478
39379,719.007711161469
16267,6453.1477487252
26539,9286.70651650709
23115,8754.25042156906
18835,6942.02459498577
25683,9153.59249277259
37667,9171.80731635974
859,9003.54129748079
17123,6675.79654751675
5139,6677.07419954662
19691,7075.13861872028
9419,782.497902867645
7707,7076.41627075015
11987,8888.64209733344
10275,6553.06758760568
35099,8772.46524515622
33387,709.900299367893
